@id,@lon,@lat,name,addr:street,addr:city,phone,website,opening_hours
1911710769,22.2259554,41.4102827,,,,,,
1911710794,22.2262817,41.4110191,,,,,,
1911710798,22.2270367,41.4106685,,,,,,
1911710805,22.2259239,41.4109514,,,,,,
1911710817,22.2265108,41.4109735,,,,,,
1911710837,22.2261756,41.4109967,,,,,,
1911710841,22.2256334,41.4108384,,,,,,
1911710843,22.2271961,41.4106810,,,,,,
1911710884,22.2254980,41.4105106,,,,,,
1911783300,22.2261564,41.4101014,,,,,,
1911783622,22.2254632,41.4104547,,,,,,
1911783647,22.2253286,41.4107865,,,,,,
1911783677,22.2267744,41.4102664,,,,,,
1911783687,22.2253790,41.4106657,,,,,,
1911784427,22.2258279,41.4102115,,,,,,
1911784588,22.2263935,41.4100532,,,,,,
1911824114,22.1283103,41.3150184,,,,,,
1911824208,22.1283424,41.3153730,,,,,,
1911825370,22.1284143,41.3155174,,,,,,
1911825618,22.1279884,41.3157558,,,,,,
1911825825,22.1280206,41.3151957,,,,,,
1911826013,22.1276987,41.3153730,,,,,,
1911826090,22.1284014,41.3151393,,,,,,
1911826295,22.1279401,41.3157114,,,,,,
3740200039,22.0341238,41.5176265,,,,,,
3740200042,22.0341129,41.5180203,,,,,,
3740200043,22.0343496,41.5180240,,,,,,
3740203943,22.0343605,41.5176302,,,,,,
3832513020,21.4902127,42.0078222,,,,,,
4698518932,21.4905516,42.0077347,,,,,,
4698518933,21.4906435,42.0079313,,,,,,
4698518934,21.4903046,42.0080188,,,,,,
5167052721,21.7409905,41.7777740,Chateau Sopot,,Veles,+389 78 663 300,,Mo-Su 09:00-22:00
5177854589,21.9378856,41.5817262,,,,,,
5177854590,21.9365843,41.5798276,,,,,,
5177854591,21.9328402,41.5817806,,,,,,
5177854592,21.9335186,41.5827239,,,,,,
5667327121,22.0915153,41.4943704,Бовин винарија,Индустриска,,043365322,http://www.bovin.com.mk,Mo-Fr 08:00-16:00
5901737585,21.4394921,41.9940075,,,,,,
5901752486,21.4272901,41.9950477,,,,,,
5901753385,21.4310531,41.9956025,Сковин,,,,,
6289215943,22.9400067,41.9901310,,,,,,
6289215944,22.9398853,41.9901480,,,,,,
6289215945,22.9399768,41.9905727,,,,,,
6289215946,22.9400981,41.9905570,,,,,,
6289215947,22.9404311,41.9901589,,,,,,
6289215948,22.9402347,41.9901854,,,,,,
6289215949,22.9403240,41.9905513,,,,,,
6289215950,22.9405127,41.9905228,,,,,,
6348087929,22.1940439,41.7378970,,,,,,
6644606350,21.9375971,41.5811190,,,,,,
9870303417,20.8771330,41.1848848,,,,+389 78474656,https://monasterywinery.com,Mo-Su 08:00-23:00
11324050520,22.0048024,41.4361240,,,,,,
11324050521,22.0047292,41.4361301,,,,,,
11324050522,22.0047454,41.4361850,,,,,,
11324050523,22.0048268,41.4361972,,,,,,
1000000180716821,22.2262623,41.4105361,Попова Кула,,,,,
1000000180725215,22.1280564,41.3153871,Винарија Грков,,,,,
1000000370311640,22.0342366,41.5178252,Domaine Lepovo,,,,,
1000000476221803,21.4904280,42.0078767,Камник,,,,,
1000000533757101,21.9353629,41.5812757,Vinarija Stobi,,,,https://www.stobiwinery.mk/,
1000000671597181,22.9399916,41.9903518,,,,,,
1000000671597182,22.9403736,41.9903551,Винарна Логодаж,,,,,
1000001221269982,22.0047780,41.4361606,Zaharchev Winery and Distillery,Косовска,Кавадарци,070 253 103,https://www.zaharchev.mk/,Mo-Su 08:00-22:00
